State,State Code,Metric,2013,2017,2021,2025
Alaska,AK,fg-sch,4.621943544,4.845294392,2.655679753,3.105583689
Alaska,AK,fg-yorg,2.875444905,2.952652029,2.015802455,1.044667327
Alaska,AK,fh-eat,3.833159405,2.437488048,4.122397149,3.761824909
Alaska,AK,fh-ed,1.004597346,1.400490888,0.192244587,1.151795543
Alaska,AK,fh-ma,1.176379213,0.957600832,1.494953873,0.360128712
Alaska,AK,fh-read,3.240708348,1.537206926,2.649955106,2.114137377
Alaska,AK,fh-spf,1.297998382,1.320269585,1.474276498,1.187010908
Alaska,AK,fh-time,0.904120548,0.509293408,1.827743108,2.793260932
Alaska,AK,fh-tv,1.19047619,1.19047619,0,0
Alaska,AK,fh-uw,1.743881837,1.617269938,1.68194777,1.643390438
Alaska,AK,sc-born,-0.937158005,-0.634728244,-0.460634599,-0.461571265
Alaska,AK,sc-eng-a,1.881532719,2.042077374,2.242514517,2.369287957
Alaska,AK,sc-eng-c,1.503908697,1.965211154,2.360131207,2.57663202
Alaska,AK,sc-mid,2.601195678,2.554511979,2.790902962,2.452290778
Alaska,AK,sm-em,-3.244721921,-3.244721921,-3.244721921,-3.244721921
Alaska,AK,sm-grad,0.427778353,1.400230191,1.546707339,2.143461922
Alaska,AK,sm-hr,1.190894335,1.586262098,1.862945073,2.867961712
Alaska,AK,sm-neet,-1.090860981,0.342810263,-2.985124195,-0.005063388
Alaska,AK,st-fc,3.070059348,0.825666866,1.606701771,3.960096706
Alaska,AK,st-fc trust,0.365165281,0.994938971,2.786130474,2.272354251
Alaska,AK,st-fcc,-1.940666564,1.723185987,3.207617007,1.465255476
Alaska,AK,st-vc,-0.328844365,-1.490537613,-2.831655782,-1.454200245
Arizona,AZ,Civic Engagement,2.517604211,2.791984814,11.03946199,6.70772047
Arizona,AZ,Community Life,4.269999021,5.866923333,2.712259768,0.198374771
Arizona,AZ,Family Health,7.82295969,5.258546787,4.7676803,6.490747885
Arizona,AZ,Future Generations,6.597766497,3.241849465,1.320745418,-0.437084679
Arizona,AZ,Social Cohesion,-0.698945839,1.384155345,2.69822885,2.607088346
Arizona,AZ,Social Mobility,-1.167518996,0.72097928,4.396347444,6.758650572
Arizona,AZ,Social Trust,-7.428575577,6.281654113,7.032460215,12.01645431
Arizona,AZ,Total,11.91328901,25.54609314,33.96718398,34.34195168
Arizona,AZ,ce-ao,2.01708148,2.121061783,2.233210464,2.044496226
Arizona,AZ,ce-vt,-0.609718831,1.455008627,6.736105089,2.92545893
Arizona,AZ,cl-cdd,1.323946517,0.967982889,-1.455199993,-1.736767401
Arizona,AZ,cl-don,0.407882615,0.957879589,0.398275785,0.532270979
Arizona,AZ,cl-mem,-0.122864041,-0.31806115,0.156117966,0.528666548
Arizona,AZ,cl-np,0.916478177,5.5855393,0.455208697,0.367416347
Arizona,AZ,cl-npo,0.602105535,0.636205641,0.576938287,0.537601722
Arizona,AZ,cl-porg,0.793876382,0.799433708,0.772069898,0.687446887
Arizona,AZ,cl-rel,0.100735615,0.70117759,-0.259529569,-0.259529569
Arizona,AZ,cl-ta,1.661502854,0.921394768,1.090245447,-0.822585467
Arizona,AZ,cl-tfn,0.529745862,0.709403875,0.167543648,-1.916994611
Arizona,AZ,cl-vol,0.297014199,1.459489313,-0.189401694,0.911498282
Arizona,AZ,cv-pm,1.110241562,-0.784085596,2.070146432,1.737765314
Arizona,AZ,fg-act,0.79922927,0.253610549,0.296582753,2.558050545
Arizona,AZ,fg-br,1.999104358,1.415193482,0.088881635,-0.244781722
Arizona,AZ,fg-play,1.463170956,0.755850947,1.10501378,0.51550609
Arizona,AZ,fg-read,1.358076877,-0.176108084,1.7717812,1.131707107
Arizona,AZ,fg-sch,0.358837591,-0.717106946,-0.639142915,-0.797487833
Arizona,AZ,fg-yorg,0.577398094,0.707295493,0.325744445,0.235373679
Arizona,AZ,fh-eat,3.137565581,1.230818122,1.997298826,1.45124093
Arizona,AZ,fh-ed,-0.146649539,-0.311519218,-1.763074498,0.502457021
Arizona,AZ,fh-ma,0.826680857,0.809405345,0.951445984,0.742585446
