State,Year,Column1,Metric,Data,Datum,Raw Data,Adjusted Data,Bookmark,Mountain States,Metric Name
Kentucky,2013,3,Community Life,8.725443786,,0.22156213,8.725443786,,,
Louisiana,2013,3,Community Life,2.728505572,,-0.61800922,2.728505572,,,
Maine,2013,3,Community Life,7.652125931,,0.07129763,7.652125931,,,
Maryland,2013,3,Community Life,7.9429769,,0.112016766,7.9429769,,,
Massachusetts,2013,3,Community Life,7.313605865,,0.023904821,7.313605865,,,
Michigan,2013,3,Community Life,7.901308103,,0.106183134,7.901308103,,,
Minnesota,2013,3,Community Life,12.13273234,,0.698582527,12.13273234,,,
Mississippi,2013,3,Community Life,8.544767329,,0.196267426,8.544767329,,,
Missouri,2013,3,Community Life,11.07183568,,0.550056995,11.07183568,,,
Montana,2013,3,Community Life,8.089578097,,0.132540934,8.089578097,,1,
Nebraska,2013,3,Community Life,12.5092712,,0.751297968,12.5092712,,,
Nevada,2013,3,Community Life,3.852723814,,-0.460618666,3.852723814,,1,
New Hampshire,2013,3,Community Life,7.276378344,,0.018692968,7.276378344,,,
New Jersey,2013,3,Community Life,5.028805067,,-0.295967291,5.028805067,,,
New Mexico,2013,3,Community Life,4.546679492,,-0.363464871,4.546679492,,1,
New York,2013,3,Community Life,4.781267069,,-0.33062261,4.781267069,,,
North Carolina,2013,3,Community Life,8.436029997,,0.1810442,8.436029997,,,
North Dakota,2013,3,Community Life,11.94471602,,0.672260242,11.94471602,,,
Ohio,2013,3,Community Life,5.288575263,,-0.259599463,5.288575263,,,
Oklahoma,2013,3,Community Life,7.684345487,,0.075808368,7.684345487,,,
Oregon,2013,3,Community Life,11.38942749,,0.594519849,11.38942749,,,
Pennsylvania,2013,3,Community Life,7.369029959,,0.031664194,7.369029959,,,
Rhode Island,2013,3,Community Life,6.030350274,,-0.155750962,6.030350274,,,
South Carolina,2013,3,Community Life,8.35219372,,0.169307121,8.35219372,,,
South Dakota,2013,3,Community Life,12.14402451,,0.700163431,12.14402451,,,
Tennessee,2013,3,Community Life,9.077327094,,0.270825793,9.077327094,,,
Texas,2013,3,Community Life,6.492292903,,-0.091078994,6.492292903,,,
United States,2013,3,Community Life,7.640614204,,0.069685989,7.640614204,,,
Utah,2013,3.8,cl-tfn,1.291739419,63.06548398,0.45,1.291739419,,1,Time spent with friends and neighbors
Vermont,2013,3,Community Life,10.21501997,,0.430102796,10.21501997,,,
Virginia,2013,3,Community Life,10.655645,,0.4917903,10.655645,,,
Washington,2013,3,Community Life,11.70724028,,0.63901364,11.70724028,,,
West Virginia,2013,3,Community Life,1.999650534,,-0.720048925,1.999650534,,,
Wisconsin,2013,3,Community Life,10.72901191,,0.502061668,10.72901191,,1,
Wyoming,2013,3,Community Life,6.593581245,,-0.076898626,6.593581245,,,
Alabama,2017,4,Family Health,4.607563037,,-0.354941175,4.607563037,,,
Alaska,2017,3,Community Life,10.57578964,,0.480610549,10.57578964,,,
Arizona,2017,3,Community Life,5.866923333,,-0.178630733,5.866923333,,1,
Arkansas,2017,3,Community Life,6.725725657,,-0.058398408,6.725725657,,,
California,2017,3,Community Life,5.906210962,,-0.173130465,5.906210962,,,
Colorado,2017,3,Community Life,7.641740686,,0.069843696,7.641740686,,1,
Connecticut,2017,3,Community Life,7.447841814,,0.042697854,7.447841814,,,
Delaware,2017,3,Community Life,13.61079818,,0.905511745,13.61079818,,,
District of Columbia,2017,3,Community Life,22.4037231,,2.136521234,22.4037231,,,
Florida,2017,3,Community Life,4.926406009,,-0.310303159,4.926406009,,,
Georgia,2017,3,Community Life,4.999021835,,-0.300136943,4.999021835,,,
Hawaii,2017,3,Community Life,5.915515122,,-0.171827883,5.915515122,,,
Idaho,2017,3,Community Life,11.98149727,,0.677409618,11.98149727,,1,
Illinois,2017,3,Community Life,9.386919666,,0.314168753,9.386919666,,,
Indiana,2017,3,Community Life,8.775625398,,0.228587556,8.775625398,,,
Iowa,2017,3,Community Life,11.80212133,,0.652296987,11.80212133,,,
Kansas,2017,3,Community Life,12.61394581,,0.765952413,12.61394581,,,
Kentucky,2017,3,Community Life,7.368400739,,0.031576104,7.368400739,,,
Louisiana,2017,3,Community Life,5.565734039,,-0.220797235,5.565734039,,,
Maine,2017,3,Community Life,6.845459266,,-0.041635703,6.845459266,,,
Nevada,2013,3.9,cl-ta,0.973338886,330.0552695,0.09,0.973338886,,1,Time spent alone
Nevada,2017,3.9,cl-ta,1.545945803,306.9725646,0.73,1.545945803,,1,Time spent alone
Nevada,2021,3.9,cl-ta,0.480076929,349.9394514,-0.46,0.480076929,,1,Time spent alone
Nevada,2025,3.9,cl-ta,-0.922753871,406.4898149,-2.03,-0.922753871,,1,Time spent alone
Maryland,2017,3,Community Life,9.751419872,,0.365198782,9.751419872,,,
Massachusetts,2017,3,Community Life,8.250788032,,0.155110325,8.250788032,,,
Michigan,2017,3,Community Life,6.242753687,,-0.126014484,6.242753687,,,
Minnesota,2017,3,Community Life,13.38504413,,0.873906178,13.38504413,,,
Mississippi,2017,3,Community Life,6.489003021,,-0.091539577,6.489003021,,,
Missouri,2017,3,Community Life,8.700462672,,0.218064774,8.700462672,,,
Montana,2017,3,Community Life,10.12868704,,0.418016186,10.12868704,,1,
Nebraska,2017,3,Community Life,11.6542986,,0.631601805,11.6542986,,,
Nevada,2017,3,Community Life,5.020150677,,-0.297178905,5.020150677,,1,
New Hampshire,2017,3,Community Life,11.61629414,,0.626281179,11.61629414,,,
New Jersey,2017,3,Community Life,6.533241049,,-0.085346253,6.533241049,,,
New Mexico,2017,3,Community Life,5.29183769,,-0.259142723,5.29183769,,1,
New York,2017,3,Community Life,6.047813517,,-0.153306108,6.047813517,,,
North Carolina,2017,3,Community Life,9.311816735,,0.303654343,9.311816735,,,
North Dakota,2017,3,Community Life,11.44826612,,0.602757256,11.44826612,,,
Ohio,2017,3,Community Life,10.05515651,,0.407721911,10.05515651,,,
Oklahoma,2017,3,Community Life,8.183732987,,0.145722618,8.183732987,,,
Oregon,2017,3,Community Life,12.43364409,,0.740710172,12.43364409,,,
Pennsylvania,2017,3,Community Life,8.571867778,,0.200061489,8.571867778,,,
Rhode Island,2017,3,Community Life,5.93605941,,-0.168951683,5.93605941,,,
South Carolina,2017,3,Community Life,9.293877465,,0.301142845,9.293877465,,,
South Dakota,2017,3,Community Life,10.4883262,,0.468365668,10.4883262,,,
Tennessee,2017,3,Community Life,11.04153119,,0.545814367,11.04153119,,,
Texas,2017,3,Community Life,6.973180055,,-0.023754792,6.973180055,,,
United States,2017,3,Community Life,8.028351737,,0.123969243,8.028351737,,,
Utah,2017,3.8,cl-tfn,-0.197253729,49.62571549,-1.22,-0.197253729,,1,Time spent with friends and neighbors
Vermont,2017,3,Community Life,9.870009403,,0.381801316,9.870009403,,,
Virginia,2017,3,Community Life,8.416027163,,0.178243803,8.416027163,,,
Washington,2017,3,Community Life,10.71638409,,0.500293772,10.71638409,,,
West Virginia,2017,3,Community Life,8.410156853,,0.177421959,8.410156853,,,
Wisconsin,2017,3,Community Life,7.437123612,,0.041197306,7.437123612,,1,
Wyoming,2017,3,Community Life,3.824818152,,-0.464525459,3.824818152,,,
Alabama,2021,4,Family Health,3.457699951,,-0.515922007,3.457699951,,,
Alaska,2021,3,Community Life,4.752051019,,-0.334712857,4.752051019,,,
Arizona,2021,3,Community Life,2.712259768,,-0.620283632,2.712259768,,1,
Arkansas,2021,3,Community Life,3.348207814,,-0.531250906,3.348207814,,,
California,2021,3,Community Life,-0.321088241,,-1.044952354,-0.321088241,,,
Colorado,2021,3,Community Life,4.131242407,,-0.421626063,4.131242407,,1,
Connecticut,2021,3,Community Life,5.970027033,,-0.164196215,5.970027033,,,
Delaware,2021,3,Community Life,3.650171526,,-0.488975986,3.650171526,,,
District of Columbia,2021,3,Community Life,19.73785871,,1.763300219,19.73785871,,,
Florida,2021,3,Community Life,-1.224983531,,-1.171497694,-1.224983531,,,
Georgia,2021,3,Community Life,-0.677759874,,-1.094886382,-0.677759874,,,
Hawaii,2021,3,Community Life,-1.931131352,,-1.270358389,-1.931131352,,,
Idaho,2021,3,Community Life,6.911611435,,-0.032374399,6.911611435,,1,
Illinois,2021,3,Community Life,6.718731771,,-0.059377552,6.718731771,,,
Indiana,2021,3,Community Life,3.92090629,,-0.451073119,3.92090629,,,
Iowa,2021,3,Community Life,5.359122481,,-0.249722853,5.359122481,,,
Kansas,2021,3,Community Life,5.272859484,,-0.261799672,5.272859484,,,
Kentucky,2021,3,Community Life,-0.227990103,,-1.031918614,-0.227990103,,,
Louisiana,2021,3,Community Life,1.805706009,,-0.747201159,1.805706009,,,
Maine,2021,3,Community Life,5.079155219,,-0.288918269,5.079155219,,,
Maryland,2021,3,Community Life,2.259387211,,-0.683685791,2.259387211,,,
Massachusetts,2021,3,Community Life,2.93441521,,-0.589181871,2.93441521,,,
Michigan,2021,3,Community Life,4.864717029,,-0.318939616,4.864717029,,,
