State,State Code,Metric,Year,Value
Arkansas,AR,Total,2013,39.7
Arkansas,AR,ce-ao,2013,1.9
Arkansas,AR,ce-vt,2013,-1.8
Arkansas,AR,cl-cdd,2013,0.2
Arkansas,AR,cl-don,2013,-0.2
Arkansas,AR,cl-mem,2013,-0.3
Arkansas,AR,cl-np,2013,0.7
Arkansas,AR,cl-npo,2013,0.9
Arkansas,AR,cl-porg,2013,0.8
Arkansas,AR,cl-rel,2013,2.6
Arkansas,AR,cl-ta,2013,0.9
Arkansas,AR,cl-tfn,2013,1.2
Arkansas,AR,cl-vol,2013,-0.4
Arkansas,AR,cv-pm,2013,-0.1
Arkansas,AR,fg-act,2013,1.0
Arkansas,AR,fg-br,2013,2.0
Arkansas,AR,fg-play,2013,0.9
Arkansas,AR,fg-read,2013,1.0
Arkansas,AR,fg-sch,2013,3.0
Arkansas,AR,fg-yorg,2013,0.7
Arkansas,AR,fh-eat,2013,2.7
Arkansas,AR,fh-ed,2013,-0.1
Arkansas,AR,fh-ma,2013,1.4
Arkansas,AR,fh-read,2013,2.1
Arkansas,AR,fh-spf,2013,0.3
Arkansas,AR,fh-time,2013,0.2
Arkansas,AR,fh-tv,2013,1.2
Arkansas,AR,fh-uw,2013,0.1
Arkansas,AR,sc-born,2013,2.4
Arkansas,AR,sc-eng-a,2013,2.9
Arkansas,AR,sc-eng-c,2013,2.5
Arkansas,AR,sc-mid,2013,1.7
Arkansas,AR,sm-em,2013,3.7
Arkansas,AR,sm-grad,2013,-1.3
Arkansas,AR,sm-hr,2013,2.1
Arkansas,AR,sm-neet,2013,-1.8
Arkansas,AR,st-fc,2013,2.2
Arkansas,AR,st-fc trust,2013,1.2
Arkansas,AR,st-fcc,2013,1.6
Arkansas,AR,st-vc,2013,0.9
California,CA,Civic Engagement,2013,3.6
California,CA,Community Life,2013,6.6
California,CA,Family Health,2013,11.4
California,CA,Future Generations,2013,7.9
California,CA,Social Cohesion,2013,-7.5
California,CA,Social Mobility,2013,0.2
California,CA,Social Trust,2013,10.8
California,CA,Total,2013,33.1
California,CA,ce-ao,2013,2.0
California,CA,ce-vt,2013,0.1
California,CA,cl-cdd,2013,1.7
California,CA,cl-don,2013,0.1
California,CA,cl-mem,2013,0.4
California,CA,cl-np,2013,0.7
California,CA,cl-npo,2013,0.7
California,CA,cl-porg,2013,0.7
California,CA,cl-rel,2013,0.6
California,CA,cl-ta,2013,1.6
California,CA,cl-tfn,2013,2.1
California,CA,cl-vol,2013,0.4
California,CA,cv-pm,2013,1.5
California,CA,fg-act,2013,1.7
California,CA,fg-br,2013,2.1
California,CA,fg-play,2013,1.6
California,CA,fg-read,2013,1.1
California,CA,fg-sch,2013,0.6
California,CA,fg-yorg,2013,0.9
California,CA,fh-eat,2013,2.6
California,CA,fh-ed,2013,1.8
California,CA,fh-ma,2013,1.2
California,CA,fh-read,2013,1.0
California,CA,fh-spf,2013,3.4
California,CA,fh-time,2013,0.5
California,CA,fh-tv,2013,1.2
California,CA,fh-uw,2013,1.0
California,CA,sc-born,2013,1.3
California,CA,sc-eng-a,2013,-4.6
California,CA,sc-eng-c,2013,-5.1
California,CA,sc-mid,2013,0.9
California,CA,sm-em,2013,0.9
California,CA,sm-grad,2013,1.6
California,CA,sm-hr,2013,-1.7
California,CA,sm-neet,2013,-0.6
California,CA,st-fc,2013,2.7
California,CA,st-fc trust,2013,3.8
California,CA,st-fcc,2013,2.7
California,CA,st-vc,2013,1.6
Colorado,CO,Civic Engagement,2013,13.6
Colorado,CO,Community Life,2013,7.9
Colorado,CO,Family Health,2013,14.3
Colorado,CO,Future Generations,2013,15.6
Colorado,CO,Social Cohesion,2013,3.5
Colorado,CO,Social Mobility,2013,7.3
Colorado,CO,Social Trust,2013,12.8
Colorado,CO,Total,2013,74.9
Colorado,CO,ce-ao,2013,2.7
Colorado,CO,ce-vt,2013,6.0
Colorado,CO,cl-cdd,2013,1.9
Colorado,CO,cl-don,2013,1.9
Colorado,CO,cl-mem,2013,1.3
Colorado,CO,cl-np,2013,2.4
Colorado,CO,cl-npo,2013,0.7
Colorado,CO,cl-porg,2013,0.8
Colorado,CO,cl-rel,2013,0.1
Colorado,CO,cl-ta,2013,1.5
Colorado,CO,cl-tfn,2013,0.3
Colorado,CO,cl-vol,2013,1.4
Colorado,CO,cv-pm,2013,4.8
Colorado,CO,fg-act,2013,1.4
Colorado,CO,fg-br,2013,1.6
Colorado,CO,fg-play,2013,4.2
Colorado,CO,fg-read,2013,1.7
Colorado,CO,fg-sch,2013,0.5
Colorado,CO,fg-yorg,2013,4.1
Colorado,CO,fh-eat,2013,3.1
Colorado,CO,fh-ed,2013,2.4
Colorado,CO,fh-ma,2013,1.3
Colorado,CO,fh-read,2013,3.8
Colorado,CO,fh-spf,2013,0.6
Colorado,CO,fh-time,2013,-0.4
Colorado,CO,fh-tv,2013,1.0
Colorado,CO,fh-uw,2013,3.5
Colorado,CO,sc-born,2013,-0.5
Colorado,CO,sc-eng-a,2013,1.3
Colorado,CO,sc-eng-c,2013,0.8
Colorado,CO,sc-mid,2013,2.0
Colorado,CO,sm-em,2013,1.4
Colorado,CO,sm-grad,2013,3.4
Colorado,CO,sm-hr,2013,1.5
Colorado,CO,sm-neet,2013,1.0
Colorado,CO,st-fc,2013,4.1
Colorado,CO,st-fc trust,2013,3.2
Colorado,CO,st-fcc,2013,2.9
Colorado,CO,st-vc,2013,2.6
Connecticut,CT,Civic Engagement,2013,7.3
Connecticut,CT,Community Life,2013,8.7
Connecticut,CT,Family Health,2013,7.0
Connecticut,CT,Future Generations,2013,-0.2
Connecticut,CT,Social Cohesion,2013,5.1
Connecticut,CT,Social Mobility,2013,9.7
Connecticut,CT,Social Trust,2013,11.1
Connecticut,CT,Total,2013,48.8
Connecticut,CT,ce-ao,2013,2.0
Connecticut,CT,ce-vt,2013,2.5
Connecticut,CT,cl-cdd,2013,2.8
Connecticut,CT,cl-don,2013,1.8
Connecticut,CT,cl-mem,2013,0.9
Connecticut,CT,cl-np,2013,0.1
Connecticut,CT,cl-npo,2013,0.8
Connecticut,CT,cl-porg,2013,0.7
Connecticut,CT,cl-rel,2013,0.2
Connecticut,CT,cl-ta,2013,1.2
Connecticut,CT,cl-tfn,2013,2.0
Connecticut,CT,cl-vol,2013,1.1
Connecticut,CT,cv-pm,2013,2.8
Connecticut,CT,fg-act,2013,2.5
Connecticut,CT,fg-br,2013,-0.3
Connecticut,CT,fg-play,2013,-0.7
Connecticut,CT,fg-read,2013,1.7
Connecticut,CT,fg-sch,2013,0.5
Connecticut,CT,fg-yorg,2013,0.4
Connecticut,CT,fh-eat,2013,0.2
