State,State Code,Metric,Year,Value
Utah,UT,sc-eng-a,2017,1.914683628
Utah,UT,sc-eng-a,2021,2.066760549
Utah,UT,sc-eng-a,2025,2.008312545
Utah,UT,sc-eng-c,2013,2.058080405
Utah,UT,sc-eng-c,2017,2.648443898
Utah,UT,sc-eng-c,2021,2.831752662
Utah,UT,sc-eng-c,2025,2.367504436
Utah,UT,sc-mid,2013,3.30907358
Utah,UT,sc-mid,2017,3.200515131
Utah,UT,sc-mid,2021,3.672473982
Utah,UT,sc-mid,2025,3.253985243
Utah,UT,sm-em,2013,2.589551322
Utah,UT,sm-em,2017,2.589551322
Utah,UT,sm-em,2021,2.589551322
Utah,UT,sm-em,2025,2.589551322
Utah,UT,sm-grad,2013,1.416630707
Utah,UT,sm-grad,2017,2.02918685
Utah,UT,sm-grad,2021,2.884579268
Utah,UT,sm-grad,2025,3.942080259
Utah,UT,sm-hr,2013,3.419911368
Utah,UT,sm-hr,2017,3.284966045
Utah,UT,sm-hr,2021,4.199317384
Utah,UT,sm-hr,2025,3.982447784
Utah,UT,sm-neet,2013,1.616583502
Utah,UT,sm-neet,2017,2.896672987
Utah,UT,sm-neet,2021,4.103631869
Utah,UT,sm-neet,2025,3.680916276
Utah,UT,st-fc,2013,1.977649109
Utah,UT,st-fc,2017,2.690935132
Utah,UT,st-fc,2021,3.34701273
Utah,UT,st-fc,2025,4.386363267
Utah,UT,st-fc trust,2013,3.572769753
Utah,UT,st-fc trust,2017,4.868908687
Utah,UT,st-fc trust,2021,4.829113292
Utah,UT,st-fc trust,2025,4.683779688
Utah,UT,st-fcc,2013,3.062561341
Utah,UT,st-fcc,2017,3.141618309
Utah,UT,st-fcc,2021,3.39525776
Utah,UT,st-fcc,2025,3.291575171
Utah,UT,st-vc,2013,3.712805683
Utah,UT,st-vc,2017,3.309145335
Utah,UT,st-vc,2021,3.324497976
Utah,UT,st-vc,2025,3.368255922
