State,State Code,Metric,2013,2017,2021,2025
Arizona,AZ,cl-np,0.9,5.6,0.5,0.4
Arizona,AZ,cl-npo,0.6,0.6,0.6,0.5
Arizona,AZ,cl-porg,0.8,0.8,0.8,0.7
Arizona,AZ,cl-rel,0.1,0.7,-0.3,-0.3
Arizona,AZ,cl-ta,1.7,0.9,1.1,-0.8
Arizona,AZ,cl-tfn,0.5,0.7,0.2,-1.9
Arizona,AZ,cl-vol,0.3,1.5,-0.2,0.9
Arizona,AZ,cv-pm,1.1,-0.8,2.1,1.7
Arizona,AZ,fg-act,0.8,0.3,0.3,2.6
Arizona,AZ,fg-br,2,1.4,0.1,-0.2
Arizona,AZ,fg-play,1.5,0.8,1.1,0.5
Arizona,AZ,fg-read,1.4,-0.2,1.8,1.1
Arizona,AZ,fg-sch,0.4,-0.7,-0.6,-0.8
Arizona,AZ,fg-yorg,0.6,0.7,0.3,0.2
Arizona,AZ,fh-eat,3.1,1.2,2,1.5
Arizona,AZ,fh-ed,-0.1,-0.3,-1.8,0.5
Arizona,AZ,fh-ma,0.8,0.8,1,0.7
Arizona,AZ,fh-read,1.7,0.1,0,0.6
Arizona,AZ,fh-spf,1.1,1.4,1.8,2.1
Arizona,AZ,fh-time,1.1,1.9,1.7,1
Arizona,AZ,fh-tv,1,1,0,0
Arizona,AZ,fh-uw,0.1,0.2,0.1,0.1
Arizona,AZ,sc-born,-1.2,-1,-0.9,-1
Arizona,AZ,sc-eng-a,-0.1,0.2,0.5,0.8
Arizona,AZ,sc-eng-c,-1.2,0.4,1,1
Arizona,AZ,sc-mid,1.8,1.8,2.1,1.9
Arizona,AZ,sm-em,-0.1,-0.1,-0.1,-0.1
Arizona,AZ,sm-grad,0.5,0.8,1.5,2.5
Arizona,AZ,sm-hr,0.7,0.2,1.6,2.6
Arizona,AZ,sm-neet,-2.3,-0.2,1.3,1.7
Arizona,AZ,st-fc,-14.1,0.3,0.4,4.1
Arizona,AZ,st-fc trust,3.2,3.3,3.7,4.1
Arizona,AZ,st-fcc,1.9,1.1,1.6,2.2
Arizona,AZ,st-vc,1.6,1.6,1.3,1.6
Arkansas,AR,Civic Engagement,-0.1,3.1,3.2,0.3
Arkansas,AR,Community Life,5.4,6.7,3.3,-1
Arkansas,AR,Family Health,6.6,3.9,2,5
Arkansas,AR,Future Generations,9.8,7.1,5,3.2
Arkansas,AR,Social Cohesion,9.5,9.6,9.6,9.7
